Code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific.name,DBH,DBHClass,Native,BehaviourType,Type
Y18,19/06/2024,7:26,7:46,26,4,2,Wednesday,HOSP,Passer domesticus,Glean,7:27,Norway spruce,Acer platanoides,49,Large,No,Foraging,Yard
Y18,19/06/2024,7:26,7:46,26,4,2,Wednesday,BCCH,Poecile atricapillus,Vocalize,7:43,Norway spruce,Acer platanoides,49,Large,No,Territory_defense,Yard
Y18,19/06/2024,7:26,7:46,26,4,2,Wednesday,BCCH,Poecile atricapillus,Vocalize,7:43,Norway spruce,Acer platanoides,49,Large,No,Territory_defense,Yard
S06,17/05/2024,7:25,7:45,16,4,2,Friday,BCCH,Poecile atricapillus,Perch,7:40,Norway maple,Acer platanoides,50,Large,No,Rest,Street
S19,04/06/2024,7:21,7:41,18,1,2,Tuesday,HOSP,Passer domesticus,Perch,7:26,Norway maple,Acer platanoides,50,Large,No,Rest,Street
S18,20/06/2024,7:16,7:36,27,1,2,Thursday,HOFI,Haemorhous mexicanus,Perch,7:18,Norway maple,Acer platanoides,50,Large,No,Rest,Street
S18,20/06/2024,7:16,7:36,27,1,2,Thursday,HOFI,Haemorhous mexicanus,Vocalize,7:24,Norway maple,Acer platanoides,50,Large,No,Territory_defense,Street
S18,20/06/2024,7:16,7:36,27,1,2,Thursday,NOCA,Cardinalis cardinalis,Perch,7:36,Norway maple,Acer platanoides,50,Large,No,Rest,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,AMRO,Turdus migratorius,Perch,9:02,Norway maple,Acer platanoides,50,Large,No,Rest,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,AMRO,Turdus migratorius,Perch,9:03,Norway maple,Acer platanoides,50,Large,No,Rest,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,HOSP,Passer domesticus,Glean,9:03,Norway maple,Acer platanoides,50,Large,No,Foraging,Street
S09,08/07/2024,8:57,9:17,23,2,2,Monday,HOSP,Passer domesticus,Glean,9:03,Norway maple,Acer platanoides,50,Large,No,Foraging,Street
S20,19/07/2024,9:12,9:32,20,1,2,Friday,HOSP,Passer domesticus,Glean,9:16,Norway maple,Acer platanoides,52,Large,No,Foraging,Street
S20,19/07/2024,9:12,9:32,20,1,2,Friday,HOSP,Passer domesticus,Perch,9:17,Norway maple,Acer platanoides,52,Large,No,Rest,Street
S20,19/07/2024,9:12,9:32,20,1,2,Friday,HOSP,Passer domesticus,Bill wipe,9:17,Norway maple,Acer platanoides,52,Large,No,Grooming,Street
S20,19/07/2024,9:12,9:32,20,1,2,Friday,HOSP,Passer domesticus,Hop,9:31,Norway maple,Acer platanoides,52,Large,No,Foraging,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Perch,8:31,Norway maple,Acer platanoides,56,Large,No,Rest,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Feed young,8:33,Norway maple,Acer platanoides,56,Large,No,Reproduction,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Beg,8:33,Norway maple,Acer platanoides,56,Large,No,Reproduction,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Vocalize,8:33,Norway maple,Acer platanoides,56,Large,No,Territory_defense,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Copulate,8:37,Norway maple,Acer platanoides,56,Large,No,Reproduction,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Copulate,8:37,Norway maple,Acer platanoides,56,Large,No,Reproduction,Street
