"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH","Notes","BehaviourType","Type","IsHedge","Basal.density"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Glean","9:40","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","9:40","Norway maple","Acer platanoides","76","","Territory_defense","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Glean","9:40","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","9:40","White spruce","Picea glauca","20","","Territory_defense","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","9:40","Norway maple","Acer platanoides","76","","Territory_defense","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","HOSP","Passer domesticus","Glean","9:40","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","HOSP","Passer domesticus","Glean","9:40","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
"S01","30/05/2024","7:03","7:23",11,1,1,"Thursday","AMGO","Spinus tristis","Glean","7:14","Silver maple","Acer saccharinum","72","Construction noise. BLPW heard. ","Foraging","Street","NA","NA"
"S01","30/05/2024","7:03","7:23",11,1,1,"Thursday","AMGO","Spinus tristis","Glean","7:14","White spruce","Picea glauca","59","","Foraging","Street","NA","NA"
"S01","30/05/2024","7:03","7:23",11,1,1,"Thursday","AMGO","Spinus tristis","Perch","7:14","White spruce","Picea glauca","59","","Rest","Street","NA","NA"
"S01","30/05/2024","7:03","7:23",11,1,1,"Thursday","CHSP","Spizella passerina","Vocalize","7:19","White spruce","Picea glauca","59","","Territory_defense","Street","NA","NA"
"S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","HOSP","Passer domesticus","Vocalize","7:49","Honey locust","Gleditsia triacanthos","5","CEDW flock overhead, BLPW heard. ","Territory_defense","Street","NA","NA"
"S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","HOSP","Passer domesticus","Hop","7:50","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","BCCH","Poecile atricapillus","Glean","7:56","Red ash","Fraxinus pensylvannica ","50","","Foraging","Street","NA","NA"
"S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","AMRO","Turdus migratorius","Perch","8:00","Red oak","Quercus rubra","23","","Rest","Street","NA","NA"
"S02","30/05/2024","7:40","8:00",11,1,1,"Thursday","HOSP","Passer domesticus","Perch","8:00","Red oak","Quercus rubra","23","","Rest","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:03","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:04","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:04","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:06","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Peck","9:06","Ground",NA,NA,"","Foraging","Street","NA","NA"
